0.000 3013	316.745 2933.300 3876.050	269.662 2714.580 3661.120	484.002 2951.100 4396.880	238.126 2848.570 3845.600	334.731 2450.890 3574.140
0.050 5907	246.476 2599.190 3816.570	247.624 2305.360 3239.230	415.038 2602.300 3603.380	233.317 2484.930 3761.270	294.596 2196.680 3238.190
0.100 9028	305.689 2549.530 3526.600	305.510 2413.590 3559.920	358.890 2532.920 3910.360	220.882 2534.280 3199.710	288.032 2209.880 3148.930
0.150 16400	212.838 2112.370 3339.640	230.557 2040.020 2816.280	382.230 2410.260 3544.710	243.890 2234.460 3247.350	277.885 1941.140 3130.330
0.200 22704	198.284 1806.400 2992.870	156.165 1630.040 3078.230	308.151 1920.740 3250.440	170.676 1850.850 2893.210	197.141 1540.520 2253.930
0.250 27205	194.493 1784.520 2932.210	169.328 1473.890 2977.020	257.802 1771.350 2682.930	164.091 1617.850 2461.670	181.242 1476.440 2187.960
0.300 33180	181.337 1545.630 3027.150	227.964 1414.240 2638.620	343.701 1949.050 3218.140	201.618 1670.790 2850.040	251.386 1543.690 2783.870
0.350 42387	191.521 1470.620 2592.990	149.464 1335.940 2459.340	255.976 1660.860 2799.270	177.568 1470.900 2558.360	172.073 1444.400 2485.760
0.400 51105	167.884 1214.830 2188.930	157.281 1286.220 2187.640	224.825 1630.860 2452.010	179.407 1363.320 2415.180	165.481 1255.670 2196.560
0.450 61768	141.465 1168.450 1949.060	142.982 1125.040 2241.540	198.783 1266.710 2230.940	166.410 1204.190 2275.220	141.629 1228.590 1934.830
0.500 71794	147.792 1066.450 1933.100	142.317 1089.910 1996.430	197.777 1329.520 2144.410	167.831 1178.720 1923.430	134.852 1069.710 1892.290
0.550 93831	146.540 1113.020 2251.390	157.478 1018.620 1784.840	229.350 1169.720 1929.740	170.908 1041.500 1893.680	142.174 952.051 1776.460
0.600 168798	115.488 808.551 1426.430	122.306 944.516 1545.520	159.447 1086.360 1765.290	165.183 1009.300 1536.190	119.654 843.079 1472.650
0.650 413895	101.230 687.481 1167.050	99.532 839.528 1454.120	130.419 867.635 1444.000	147.202 805.207 1226.740	90.702 740.938 1339.150
0.700 796455	85.901 496.883 852.500	91.695 586.347 1057.530	103.498 649.771 1230.540	134.328 553.113 861.505	73.626 602.194 902.063
0.750 1269788	75.337 374.563 587.145	76.792 435.663 705.656	83.489 484.801 804.066	121.520 496.091 778.900	47.228 421.808 706.384
0.800 1825986	71.093 304.026 456.737	73.391 284.608 573.358	87.218 384.408 690.711	124.569 356.179 646.474	48.310 309.447 481.437
0.850 3259262	61.571 216.108 357.482	63.971 215.251 368.481	69.399 289.301 477.501	114.647 276.022 442.825	38.336 226.324 405.317
0.900 5872046	58.152 150.987 230.285	64.939 168.960 247.337	65.770 189.409 312.129	115.375 218.070 277.131	28.025 147.612 241.928
0.950 29938063	45.179 111.269 145.327	58.050 121.806 154.143	52.454 125.019 175.070	77.335 166.159 193.278	24.114 94.823 142.198
