0.000 2551	8.253 1806.420 3149.830	6.378 2057.900 3366.830	7.993 1823.420 2876.760	7.885 1855.370 3119.760	9.200 1788.210 3104.060
0.050 5112	8.725 1749.970 2735.110	6.921 1836.720 2731.790	8.527 1664.560 2433.280	8.482 1666.260 2493.270	9.772 1648.660 2577.210
0.100 7645	9.421 1717.520 2808.880	6.855 1786.130 2837.990	8.931 1706.330 2832.180	8.923 1688.010 3239.710	9.908 1665.440 2494.460
0.150 10414	9.004 1480.660 2520.230	7.554 1660.200 2706.280	8.683 1495.180 2503.340	8.968 1531.760 2235.820	10.225 1686.240 2875.060
0.200 18346	9.732 1255.760 2364.980	7.269 1475.760 2458.250	9.414 1364.520 2476.210	9.487 1323.970 2358.040	10.590 1370.380 2167.220
0.250 23068	9.970 1240.380 2033.120	7.574 1342.740 2396.970	9.467 1155.780 2450.460	10.308 1344.260 2476.360	11.489 1455.050 2441.040
0.300 26902	9.999 1176.060 2299.820	7.800 1231.810 2960.640	9.280 1026.630 1826.710	9.472 1149.310 2484.930	11.382 1157.500 2349.010
0.350 31554	9.984 982.540 1964.590	8.011 1019.960 1983.360	10.253 1083.550 2261.780	10.149 1053.650 2001.360	11.989 1260.510 2398.170
0.400 39599	10.693 1020.770 2184.790	8.255 1337.410 2403.400	10.280 1125.670 2295.280	10.594 1237.620 2094.020	12.199 1357.940 2363.380
0.450 47053	10.268 978.801 2166.050	8.634 1199.020 2331.300	10.055 1009.330 1990.930	10.290 1006.520 1979.380	12.170 1267.900 2386.080
0.500 55461	10.453 764.565 1662.020	8.580 1191.290 2165.360	10.128 889.327 1818.470	10.510 1008.390 1899.660	11.584 953.183 2040.290
0.550 64756	10.787 882.810 1994.710	8.737 1119.790 2256.620	10.074 902.772 1683.300	11.149 1028.060 1907.330	12.921 989.302 2075.190
0.600 74151	11.138 859.894 1693.790	8.882 946.780 1926.240	10.677 836.084 1690.650	10.986 824.338 1745.990	13.045 974.915 1672.510
0.650 105388	11.814 817.351 1865.980	8.830 863.501 1716.910	11.565 910.429 1690.290	11.391 825.151 1732.590	14.072 958.919 1749.350
0.700 178758	12.862 812.385 1513.000	9.493 915.537 1700.140	12.910 906.354 1756.790	13.669 880.246 1677.620	14.810 982.083 1881.550
0.750 444368	14.280 717.921 1383.320	11.316 1037.580 1939.770	12.934 894.062 1563.670	13.186 822.464 1478.750	15.794 768.332 1526.950
0.800 848550	17.294 431.831 960.540	12.731 786.713 1472.120	17.186 589.810 1172.370	16.606 577.347 1217.380	21.566 672.951 1429.480
0.850 1428237	19.321 315.493 685.073	14.702 442.832 880.629	20.643 554.358 1083.220	22.057 415.603 916.977	24.184 464.912 1088.040
0.900 2583225	24.156 291.439 701.050	16.802 304.619 606.117	22.621 389.674 736.116	23.553 320.071 650.880	27.326 380.121 719.945
0.950 22483051	33.188 248.947 325.999	16.789 217.272 329.604	37.184 276.565 412.514	39.051 263.763 382.816	40.281 287.017 425.612
