0.000 2606	29.023 2546.310 3982.140	59.598 2638.110 3966.200	54.196 2571.850 3758.190	42.309 2518.280 3583.090	42.814 2360.480 3547.620
0.050 5159	51.163 2198.470 3285.460	67.566 2460.400 3382.500	49.250 2174.510 3248.450	51.750 2203.390 3347.740	50.739 1937.250 3149.850
0.100 7746	47.507 2005.510 3265.810	66.493 2146.180 3313.100	75.896 2081.920 2961.540	56.230 2017.540 3088.400	45.834 1867.020 2843.070
0.150 11512	52.304 2002.780 3158.980	48.365 1820.870 2752.820	66.502 1977.070 2864.920	73.099 1867.810 2904.700	58.866 1908.220 2771.440
0.200 19582	67.583 1847.960 2749.590	64.169 1671.850 2446.540	69.454 1749.200 2645.230	77.427 1801.370 3030.270	78.832 1610.130 2502.610
0.250 23904	74.891 1665.600 2755.220	81.676 1716.870 2663.890	87.119 1566.680 2978.100	79.737 1593.870 2207.260	65.487 1529.020 2381.920
0.300 27917	86.738 1566.570 3049.650	67.544 1614.970 2947.750	87.569 1637.490 2625.490	86.623 1612.220 2881.030	80.918 1374.350 2550.800
0.350 33481	95.811 1429.490 2238.330	96.432 1358.410 2337.500	107.912 1466.000 2322.820	110.296 1511.780 2534.500	93.436 1307.940 2367.850
0.400 41511	78.603 1337.400 2518.560	88.745 1329.810 2086.180	97.313 1357.320 1795.360	110.804 1407.270 2224.890	78.233 1171.220 2250.370
0.450 49517	88.243 1160.160 2292.460	71.505 1030.930 1791.340	93.631 1115.700 1846.780	103.539 1287.490 2111.860	83.528 1049.030 1946.980
0.500 58853	88.435 1070.300 2125.460	95.024 1028.530 1552.520	96.341 1216.390 2208.370	112.196 1129.400 2145.250	74.801 971.004 1756.020
0.550 68146	80.616 1003.740 1667.490	74.951 877.257 1743.890	94.892 1055.900 1796.210	121.272 1050.930 1746.590	82.811 930.550 1777.350
0.600 77353	97.689 933.415 1823.700	87.584 963.009 1631.890	100.520 932.120 1579.420	118.949 1032.980 2012.470	73.750 919.993 1548.610
0.650 131880	82.293 846.871 1595.870	76.956 876.260 1877.740	91.107 920.346 1707.670	136.073 1008.770 1817.460	74.044 716.218 1260.050
0.700 226420	91.501 771.243 1328.600	77.055 599.635 1176.920	91.122 780.388 1266.730	124.302 816.554 1530.510	45.516 505.226 814.654
0.750 584443	69.520 445.934 856.322	51.496 406.523 813.880	71.966 510.094 964.466	118.087 690.626 1147.160	32.464 463.696 742.127
0.800 1000874	55.363 310.603 673.983	40.824 291.869 552.542	63.069 394.039 687.127	82.695 455.695 756.007	23.698 276.540 555.039
0.850 1584883	44.006 203.905 508.670	32.584 207.178 395.461	49.805 246.627 423.434	75.787 317.070 631.092	23.628 205.713 392.709
0.900 3000342	45.770 156.669 322.596	24.661 134.522 240.159	43.813 164.587 331.987	47.526 246.506 453.320	26.266 148.341 260.859
0.950 27901171	29.307 120.545 157.685	19.372 94.841 125.938	34.646 124.171 161.248	16.249 195.416 276.358	20.910 107.194 158.185
