0.000 3635	1.048 1.787 2.298	1.009 1.639 3.840	1.142 425.276 1063.760	1.044 4.021 5.844	1.102 453.032 852.031
0.050 6886	1.025 114.559 144.425	1.048 115.713 154.932	1.171 890.912 905.576	1.031 114.940 152.642	1.104 351.999 759.717
0.100 9863	1.069 15.589 74.897	1.068 10.251 15.420	1.182 494.206 628.003	1.099 17.272 19.575	1.112 155.150 275.819
0.150 20483	1.341 111.847 112.441	1.188 43.702 45.303	2.031 544.046 561.510	1.382 52.292 81.545	1.550 387.146 662.788
0.200 26512	1.414 18.003 73.056	1.220 4.417 76.659	1.559 429.276 543.516	1.310 7.274 78.742	2.621 196.358 231.415
0.250 31880	1.267 3.050 4.119	1.264 4.118 4.401	1.673 507.666 577.475	1.322 3.539 4.192	9.344 62.429 216.062
0.300 41863	1.561 45.210 102.108	1.601 23.842 115.264	1.399 187.078 348.494	1.124 2.893 109.102	12.018 88.193 109.368
0.350 49614	1.451 3.875 11.928	2.822 20.209 22.192	1.755 211.826 228.446	1.355 7.763 13.582	20.990 77.653 140.196
0.400 60623	1.708 2.727 4.045	16.390 30.508 38.782	1.350 137.649 198.449	1.246 2.758 9.032	25.219 143.265 149.143
0.450 71994	2.177 4.495 20.862	14.379 42.323 42.502	1.519 166.777 196.536	1.395 3.166 22.747	5.333 121.194 136.659
0.500 92410	1.786 44.956 45.931	12.517 46.266 68.936	1.565 162.707 281.546	1.276 13.899 49.963	23.323 73.359 181.428
0.550 192158	2.182 6.794 9.006	9.221 20.100 20.525	1.965 80.386 85.107	1.284 5.011 6.674	14.989 88.631 94.355
0.600 517134	1.596 13.692 29.593	4.686 16.896 74.780	1.842 48.500 93.002	1.181 5.533 6.792	4.568 84.233 87.829
0.650 926173	3.504 37.485 43.609	4.643 39.619 47.671	3.720 18.216 22.538	3.884 37.994 44.431	8.461 54.110 59.353
0.700 1468575	2.513 8.807 9.628	3.556 14.528 17.614	3.531 10.348 11.122	2.617 7.555 8.956	5.210 67.067 88.630
0.750 1914626	1.591 7.345 24.180	3.727 21.782 30.135	2.390 5.652 7.038	2.008 14.008 24.684	3.485 19.849 21.214
0.800 3299662	1.503 9.804 22.557	2.583 20.693 27.212	2.480 11.322 11.589	1.592 12.064 23.406	3.315 105.270 105.918
0.850 4863726	1.657 11.363 11.389	3.848 13.588 26.235	2.404 7.271 39.861	2.129 12.317 12.340	5.314 93.693 99.681
0.900 8560323	1.403 4.099 5.770	2.765 15.873 19.053	1.923 8.067 15.024	1.415 5.789 6.804	4.571 97.326 103.593
0.950 27940726	2.034 4.081 6.420	3.715 15.676 16.137	2.494 8.210 43.835	2.307 4.346 4.428	2.914 69.968 71.802
