0.000 2344	9.553 1035.060 2264.940	8.717 1031.740 2171.270	9.822 986.545 2252.790	9.939 967.549 2185.330	5.310 1614.420 2841.430
0.050 4624	10.180 901.000 2272.270	9.195 1204.490 2191.620	10.717 908.956 2252.740	10.629 1038.460 2409.060	5.449 1118.440 2515.680
0.100 7046	10.410 387.433 2205.520	9.820 681.705 2254.170	10.999 375.680 2091.950	10.913 377.234 2109.950	6.077 1481.360 2270.500
0.150 9290	10.466 445.545 1579.500	9.514 418.378 1588.840	10.937 375.264 1749.660	10.996 412.072 1703.450	5.353 1202.680 2622.680
0.200 14926	10.089 547.545 1971.850	9.813 1033.210 2438.190	10.756 655.457 1851.710	11.002 623.649 1717.130	5.569 1150.960 2886.420
0.250 20944	11.243 594.409 1591.360	10.071 688.208 1466.210	11.998 705.032 1480.790	11.468 720.529 1720.610	5.610 1252.590 2524.110
0.300 24492	11.117 697.309 2075.840	10.445 808.409 1562.840	11.696 702.123 1593.950	11.625 691.633 1556.950	6.470 888.674 2045.270
0.350 27930	10.804 517.404 1552.270	10.227 612.921 1896.450	11.491 535.804 1738.990	11.588 504.088 1777.320	6.352 1227.450 1891.830
0.400 32754	11.345 450.003 1302.320	10.332 504.192 1461.770	11.909 364.731 1109.490	11.846 353.095 1154.780	6.266 875.377 1963.840
0.450 39923	11.745 505.266 1178.170	10.526 505.881 1333.120	12.068 478.573 1369.650	11.995 560.469 1372.360	6.808 874.339 1694.910
0.500 47381	12.024 397.254 1111.230	11.174 592.605 1425.880	12.546 539.771 1617.370	12.494 545.804 1401.710	6.791 617.647 1114.630
0.550 55323	11.864 457.886 1354.630	10.824 498.694 1447.650	12.795 442.767 1304.440	12.310 488.838 1806.470	6.619 968.476 2187.980
0.600 63714	12.131 473.955 1484.400	10.723 482.111 1128.850	13.015 424.764 1441.280	12.895 436.999 1497.770	6.413 738.218 1704.740
0.650 72862	12.012 350.603 1297.250	10.865 457.577 1124.650	12.958 399.208 1171.500	12.935 360.466 1364.530	6.389 773.292 1352.240
0.700 93975	11.931 310.455 949.020	11.338 487.528 1252.890	12.885 378.330 1425.430	12.563 442.894 1449.790	6.298 716.876 1735.330
0.750 163791	12.852 365.569 1268.050	11.195 460.840 1386.370	13.082 336.319 1341.210	12.504 377.562 1252.990	6.596 738.076 1678.190
0.800 406456	15.131 315.468 1129.540	12.434 459.900 1231.630	15.225 382.917 1188.700	15.125 346.523 1043.780	6.941 584.305 1220.320
0.850 861579	17.008 215.391 718.921	13.575 338.928 930.808	17.526 288.864 1065.480	17.776 276.620 875.760	7.801 715.041 1486.330
0.900 1609590	21.423 255.434 552.817	15.259 318.066 708.651	21.460 284.755 579.180	20.919 295.999 637.177	7.353 286.581 498.099
0.950 23596836	23.027 266.094 438.462	15.552 269.742 393.787	22.411 274.594 451.906	23.248 276.615 477.043	2.418 119.827 258.306
